allocator,num_allocations,size,tid,thread_name,stack_trace
MMAP,1,1048576,1,0x1,_PyObject_ArenaMmap;<unknown>;0|_PyObject_Malloc;<unknown>;0|long_to_decimal_string;<unknown>;0|<dictcomp>;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;24|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;24
REALLOC,1,24576,1,0x1,_PyObject_Malloc;<unknown>;0|rangeiter_next;<unknown>;0|<listcomp>;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;24|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|<dictcomp>;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;24|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;24
MALLOC,1,520,1,0x1,_PyObject_Malloc;<unknown>;0|_PyObject_GC_NewVar;<unknown>;0|_PyFunction_Vectorcall;<unknown>;0|method_vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|__new__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/indexes/base.py;539|_PyFunction_Vectorcall;<unknown>;0|slot_tp_new;<unknown>;0|type_call;<unknown>;0|__new__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/indexes/base.py;572|_PyFunction_Vectorcall;<unknown>;0|slot_tp_new;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|call_function;<unknown>;0|dict_to_mgr;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;480|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__init__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/frame.py;664|_PyFunction_Vectorcall;<unknown>;0|slot_tp_init;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;25
CALLOC,1,576,1,0x1,_PyObject_Calloc;<unknown>;0|_sanitize_ndim;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/construction.py;676|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|sanitize_array;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/construction.py;647|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|_homogenize;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;617|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|arrays_to_mgr;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;123|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|dict_to_mgr;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;493|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__init__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/frame.py;664|_PyFunction_Vectorcall;<unknown>;0|slot_tp_init;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;25
MALLOC,1,16,1,0x1,PyArray_NewFromDescr_int;<unknown>;0|PyArray_Empty;<unknown>;0|__pyx_pf_6pandas_5_libs_3lib_88maybe_convert_objects;<unknown>;0|__pyx_pw_6pandas_5_libs_3lib_89maybe_convert_objects;<unknown>;0|cfunction_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|call_function;<unknown>;0|_maybe_cast_data_without_dtype;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/indexes/base.py;7414|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__new__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/indexes/base.py;568|_PyFunction_Vectorcall;<unknown>;0|slot_tp_new;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|call_function;<unknown>;0|dict_to_mgr;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;480|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__init__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/frame.py;664|_PyFunction_Vectorcall;<unknown>;0|slot_tp_init;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;25
REALLOC,1,85120,1,0x1,<listcomp>;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;488|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|dict_to_mgr;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;488|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__init__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/frame.py;664|_PyFunction_Vectorcall;<unknown>;0|slot_tp_init;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;25
MALLOC,1,16,1,0x1,PyArray_IntpConverter;<unknown>;0|_npy_parse_arguments;<unknown>;0|array_empty;<unknown>;0|cfunction_vectorcall_FASTCALL_KEYWORDS;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|full;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/numpy/core/numeric.py;343|_PyFunction_Vectorcall;<unknown>;0|__pyx_pf_6pandas_5_libs_3lib_88maybe_convert_objects;<unknown>;0|__pyx_pw_6pandas_5_libs_3lib_89maybe_convert_objects;<unknown>;0|cfunction_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|call_function;<unknown>;0|_maybe_cast_data_without_dtype;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/indexes/base.py;7414|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__new__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/indexes/base.py;568|_PyFunction_Vectorcall;<unknown>;0|slot_tp_new;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|call_function;<unknown>;0|dict_to_mgr;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;480|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__init__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/frame.py;664|_PyFunction_Vectorcall;<unknown>;0|slot_tp_init;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;25
CALLOC,1,80000,1,0x1,default_calloc;<unknown>;0|PyDataMem_UserNEW_ZEROED;<unknown>;0|PyArray_NewFromDescr_int;<unknown>;0|PyArray_Empty;<unknown>;0|array_empty;<unknown>;0|cfunction_vectorcall_FASTCALL_KEYWORDS;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|construct_1d_object_array_from_listlike;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/dtypes/cast.py;1783|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|asarray_tuplesafe;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/common.py;243|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__new__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/indexes/base.py;565|_PyFunction_Vectorcall;<unknown>;0|slot_tp_new;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|call_function;<unknown>;0|dict_to_mgr;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/internals/construction.py;480|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__init__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/frame.py;664|_PyFunction_Vectorcall;<unknown>;0|slot_tp_init;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;25
MALLOC,1,584,1,0x1,_PyObject_Malloc;<unknown>;0|_PyObject_GC_NewVar;<unknown>;0|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|__init__;/Users/joshuaelms/miniconda3/envs/research/lib/python3.10/site-packages/pandas/core/frame.py;664|_PyFunction_Vectorcall;<unknown>;0|slot_tp_init;<unknown>;0|type_call;<unknown>;0|_PyObject_MakeTpCall;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;25
REALLOC,10000,88000000,1,0x1,<listcomp>;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;24|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|<dictcomp>;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;24|_PyFunction_Vectorcall;<unknown>;0|PyObject_Vectorcall.4450;<unknown>;0|call_function;<unknown>;0|testing;/Users/joshuaelms/Desktop/github_repos/Machine-Learning-Project/BetaDataExper/BigOTest/mem_profile/mem_profiling.py;24
