,tf-necd,tf-cod,sklearn-svddc
0,310.46310287537256,310.4631028753174,310.4631028752899
1,304.3615910573083,304.36159105710243,304.3615910571319
2,313.1154927784908,313.1154927786636,313.1154927786291
3,303.01023597568746,303.01023597559123,303.01023597562795
4,285.26457203072215,285.26457203077115,285.26457203071595
5,321.3667162247571,321.3667162248721,321.3667162248741
6,310.8636268803727,310.86362688034234,310.8636268803869
7,313.28207611059605,313.2820761104724,313.2820761104619
8,304.22114475351657,304.22114475348684,304.22114475342744
9,339.7925513850943,339.7925513851545,339.79255138518334
