,tf-necd,tf-cod,sklearn-svddc
0,13.383772466208159,13.38377246620296,13.383772466201767
1,13.440083602965526,13.44008360296083,13.44008360296043
2,13.531215365753715,13.531215365754608,13.531215365751907
3,13.065209430422032,13.065209430419662,13.065209430420856
4,12.956765807955238,12.956765807958032,12.956765807954314
5,13.457158216805421,13.45715821681633,13.457158216816577
6,13.26661384375029,13.266613843747983,13.266613843747498
7,13.582378781160983,13.582378781160722,13.58237878115853
8,13.129703331040215,13.129703331042569,13.12970333104274
9,13.622062696924973,13.622062696922475,13.622062696922058
