,tf-necd,tf-cod,sklearn-svddc
0,17.61996319165771,17.619963191656144,17.619963191655366
1,17.445962027280363,17.44596202727446,17.445962027275304
2,17.69506973081742,17.6950697308223,17.695069730821327
3,17.407189203765423,17.40718920376266,17.407189203763714
4,16.889777145679634,16.889777145681087,16.889777145679453
5,17.92670399780052,17.926703997803727,17.92670399780378
6,17.631325159510066,17.631325159509206,17.63132515951047
7,17.699776159900896,17.6997761598974,17.699776159897105
8,17.44193638199373,17.44193638199288,17.441936381991177
9,18.433462815898004,18.433462815899635,18.433462815900416
