,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,33.57948387626984,31.557081076542676,31.635925061124603,31.635926363348286,33.57948387626651,33.57948387626651
1,33.402218044087896,87.79826658972564,30.24431232391551,30.24431345642907,33.40221804407015,33.40221804407015
2,33.20682890236232,81.02224287365787,30.85435146259648,30.854356876417377,33.206828902343936,33.206828902343936
3,36.03770874009616,78.62959887955857,30.53784234930967,30.537843698906894,36.037708740083595,36.037708740083595
4,35.23148857499314,81.0806422987712,30.508554328670566,30.508552955901525,35.231488574992696,35.231488574992696
5,38.57367280200952,63.270531457703065,34.76750117615995,34.767500454426184,38.57367280196332,38.57367280196332
6,33.76351200247005,92.29290994359128,31.14290189138339,31.14290489411941,33.76351200247317,33.76351200247317
7,40.84825695885993,94.09686568111064,39.95102869685299,39.9510307618193,40.84825695886416,40.84825695886416
8,33.983442229416944,85.78228201152274,30.740265653702377,30.74026575644439,33.98344222940729,33.98344222940729
9,39.09182244453578,86.57494074029763,37.01415639217041,37.014156078558074,39.091822444518144,39.091822444518144
