,tf-necd,tf-cod,sklearn-svddc
0,0.727284257552444,0.7272842575524925,0.7272842575525166
1,0.7441365149052303,0.7441365149054033,0.7441365149053786
2,0.7321540348417209,0.7321540348415732,0.7321540348416026
3,0.7427990651227057,0.7427990651227874,0.7427990651227563
4,0.7572527069898007,0.7572527069897591,0.7572527069898061
5,0.7311288688903423,0.7311288688902461,0.7311288688902444
6,0.7443161102855895,0.7443161102856145,0.7443161102855778
7,0.7357959462352397,0.735795946235344,0.7357959462353528
8,0.738975507567919,0.7389755075679445,0.7389755075679955
9,0.6949464672047353,0.6949464672046812,0.6949464672046554
